Date,Time,Trade Id,Ask,Bid,Price,Size,Volume
10/3/2017,5:18:02,11501872,298.88,298.87,298.88,0.00003335,58221.77957
10/3/2017,5:18:08,11501874,298.88,298.87,298.88,2.85584245,58221.77957
10/3/2017,5:18:39,11501875,298.88,298.87,298.87,2.4386,58223.28277
10/3/2017,5:19:02,11501876,298.88,298.87,298.88,0.00003335,58201.12027
10/3/2017,5:19:06,11501877,298.88,298.87,298.87,2,58201.12027
10/3/2017,5:19:10,11501878,298.88,298.87,298.88,2.9616,58201.12027
10/3/2017,5:19:19,11501879,298.88,298.87,298.87,70.706681,58201.12027
10/3/2017,5:19:34,11501880,298.88,298.87,298.87,0.576992,58201.12027
10/3/2017,5:19:41,11501881,298.88,298.87,298.87,0.7018,58201.12027
10/3/2017,5:20:00,11501882,298.88,298.87,298.88,0.00333581,58275.70565
10/3/2017,5:20:03,11501883,298.88,298.87,298.88,0.00003335,58275.70565
10/3/2017,5:20:13,11501885,298.88,298.87,298.88,1.6844,58275.70565
10/3/2017,5:20:34,11501886,298.88,298.87,298.88,0.00006671,58275.70565
10/3/2017,5:20:44,11501889,298.88,298.87,298.88,2.10784394,57829.13224
10/3/2017,5:21:02,11501890,298.88,298.87,298.88,0.00003335,57829.13224
10/3/2017,5:21:43,11501891,298.88,298.87,298.87,73.426,57829.43524
10/3/2017,5:21:51,11501892,298.88,298.87,298.87,38.34184288,57829.43524
10/3/2017,5:21:52,11501893,298.88,298.87,298.88,0.30624606,57829.43524
10/3/2017,5:22:02,11501894,298.88,298.87,298.88,0.00003335,57829.43524
10/3/2017,5:22:13,11501895,298.88,298.87,298.87,0.04,57829.43524
10/3/2017,5:22:18,11501896,298.88,298.87,298.88,1.7194,57829.43524
10/3/2017,5:22:25,11501897,298.88,298.87,298.87,2.067216,57595.5227
10/3/2017,5:22:27,11501898,298.88,298.87,298.87,0.1468,57595.5227
10/3/2017,5:22:34,11501902,298.88,298.87,298.87,1.9914,57595.5227
10/3/2017,5:22:34,11501903,298.88,298.87,298.87,0.342827,57595.5227
10/3/2017,5:22:39,11501904,298.88,298.87,298.87,4.85745,57595.5227
10/3/2017,5:22:40,11501928,298.87,298.67,298.67,34.94537729,57595.5227
10/3/2017,5:22:41,11501931,298.68,298.67,298.67,16.94,57595.5227
10/3/2017,5:22:43,11501933,298.68,298.67,298.67,1.0907,57595.5227
10/3/2017,5:22:45,11501934,298.68,298.67,298.67,2.028839,57595.5227
10/3/2017,5:22:46,11501935,298.68,298.67,298.67,9.97555645,57595.5227
10/3/2017,5:22:49,11501936,298.68,298.67,298.67,2.5,57595.5227
10/3/2017,5:22:50,11501938,298.68,298.67,298.67,2.054,57595.5227
10/3/2017,5:23:01,11501939,298.68,298.67,298.67,0.21,57595.5227
10/3/2017,5:23:03,11501940,298.68,298.67,298.68,0.00003338,57595.5227
10/3/2017,5:23:04,11501944,298.68,298.67,298.67,0.03,57595.5227
10/3/2017,5:23:07,11501946,298.68,298.67,298.67,0.563406,57595.5227
10/3/2017,5:23:11,11501949,298.68,298.67,298.67,1.909437,57638.32969
10/3/2017,5:23:12,11501951,298.67,298.66,298.67,5.62793276,57638.32969
10/3/2017,5:23:14,11501975,298.63,298.54,298.47,0.02427,57638.32969
10/3/2017,5:23:21,11501978,298.55,298.54,298.55,2.0887,57638.32969
10/3/2017,5:23:27,11501983,298.49,298.44,298.46,0.01,57638.32969
10/3/2017,5:23:28,11501990,298.35,298.34,298.35,0.09250252,57638.32969
